Banque 50.849033 4.359596
Ixelles 50.832903 4.367108 86513
Uccle 50.803736 4.333211 82275
Anderlecht 50.839284 4.328882 118382
Jette 50.876211 4.324632 52201
Evere 50.872649 4.403130 41131
Woluwe-Saint-Pierre 50.837307 4.427276 41580
Auderghem 50.816892 4.427754 33740
Bruxelles 50.850603 4.352648 179277
Etterbeek 50.836677 4.386401 47786
Ganshoren 50.869968 4.307710 24865
Koekelberg 50.860889 4.331245 21774
Schaerbeek 50.867445 4.373479 133010
Berchem-Sainte-Agathe 50.865273 4.294985 24830
Saint-Gilles 50.824481 4.345661 50002
Molenbeek-Saint-Jean 50.855230 4.338658 97005
Saint-Josse-ten-Noode 50.850845 4.369629 27032
Woluwe-Saint-Lambert 50.843721 4.426170 56303
Forest 50.816910 4.321938 56008
Watermael-Boitsfort 50.798075 4.417018 25012
